,class,text
0,1,2 girls 1 cup
2,1,4r5e
3,1,5h1t
4,1,5hit
5,1,5ht
6,1,666
7,1,@$$
8,1,a s s
9,1,a s shole
10,1,a55
11,1,a55hole
15,1,ar5e
16,1,ash0le
17,1,ash0les
18,1,ass monkey
19,1,ass-fucker
20,1,ass-hat
21,1,ass-pirate
22,1,assh0le
23,1,assh0lez
24,1,assho1e
25,1,auto erotic
27,1,b i t c h
29,1,b!+ch
30,1,b!tch
31,1,b!tchin
32,1,b*tch
38,1,b17ch
39,1,b1tch
40,1,b7ch
41,1,baby batter
42,1,baby juice
43,1,ball gag
45,1,ball kicking
49,1,barely legal
52,1,beef curtains
54,1,bi+ch
55,1,bi7ch
60,1,black cock
65,1,blow job
67,1,blow your load
79,1,bunny fucker
84,1,c u n t
85,1,c-0-c-k
86,1,c-o-c-k
87,1,c-u-n-t
88,1,c.0.c.k
89,1,c.o.c.k.
90,1,c.u.n.t
91,1,c0ck
92,1,c0cks
93,1,c0cksucker
94,1,c0k
97,1,camel toe
98,1,carpet muncher
99,1,cheese eating surrender monkey
100,1,cheese eating surrender monkies
101,1,cheeseeating surrender monkey
102,1,cheeseeating surrender monkies
107,1,chocolate rosebuds
110,1,cl1t
113,1,cock-head
114,1,cock-sucker
115,1,coon ass
116,1,coon asses
117,1,cra5h
118,1,cum face
119,1,cum licker
125,1,d1ck
126,1,d1ld0
127,1,d1ldo
128,1,d4mn
129,1,date rape
130,1,dawgie style
131,1,dawgie-style
132,1,deep throat
133,1,deep throating
137,1,dick pic
138,1,dick-ish
139,1,dild0
140,1,dild0s
141,1,dilld0
142,1,dilld0s
143,1,dirty pillows
144,1,dirty sanchez
145,1,dog style
146,1,dog-fucker
147,1,doggie style
148,1,doggie-style
149,1,doggy style
150,1,doggy-style
151,1,donkey punch
155,1,double penetration
160,1,dry hump
161,1,dumb ass
164,1,eat my ass
166,1,ethical slut
167,1,f u c k e r
168,1,f u c k e
169,1,f u c k
170,1,f u k
171,1,f*ck
172,1,f-u-c-k
173,1,f.u.c.k
175,1,fag1t
176,1,fagg1t
177,1,female squirting
180,1,fuck-tard
181,1,fudge packer
182,1,fux0r
185,1,gang bang
187,1,gay sex
188,1,giant cock
204,1,h00r
205,1,h0ar
206,1,h0m0
207,1,h0mo
208,1,h0r
209,1,h0re
213,1,hand job
216,1,hom0
222,1,j3rk0ff
223,1,jack off
224,1,jack-off
225,1,jail bait
227,1,jerk off
228,1,jerk-off
229,1,jerk0ff
234,1,l3i+ch
235,1,l3i\+ch
236,1,l3itch
240,1,m-fucking
241,1,m0f0
242,1,m0fo
243,1,m45terbate
244,1,ma5terb8
245,1,ma5terbate
247,1,male squirting
248,1,master-bate
249,1,masterb8
250,1,masterbat3
257,1,motha fucker
258,1,motha fuker
259,1,motha fukkah
260,1,motha fukker
261,1,mother fucker
262,1,mother fukah
263,1,mother fuker
264,1,mother fukkah
265,1,mother fukker
266,1,mother-fucker
270,1,mutha fucker
271,1,mutha fukah
272,1,mutha fuker
273,1,mutha fukkah
274,1,mutha fukker
275,1,n1gga
276,1,n1gger
277,1,n1gr
278,1,nig nog
279,1,nigg3r
280,1,nigg4h
284,1,o c k
292,1,p u s s y
293,1,p.u.s.s.y.
301,1,pi55
302,1,piece of shit
303,1,piss pig
304,1,piss-off
310,1,porch monkey
311,1,porch monkies
314,1,pr1c
315,1,pr1ck
316,1,pr1k
317,1,prairie nigger
318,1,prairie niggers
319,1,prince albert piercing
320,1,pu55i
321,1,pu55y
322,1,r-tard
323,1,r-tards
332,1,s h i t
333,1,s hit
335,1,s-h-1-t
336,1,s-h-i-t
338,1,s.h.i.t.
341,1,sand nigger
342,1,sand niggers
343,1,sh!+
344,1,sh!t
345,1,sh1t
346,1,sh1ter
347,1,sh1ts
348,1,sh1tter
349,1,sh1tz
352,1,shi+
353,1,shit ass
354,1,shit-ass
355,1,shit-bag
356,1,shit-bagger
357,1,shit-brain
358,1,shit-breath
359,1,shit-cunt
360,1,shit-dick
361,1,shit-eating
362,1,shit-face
363,1,shit-faced
364,1,shit-fit
365,1,shit-head
366,1,shit-heel
367,1,shit-hole
368,1,shit-house
369,1,shit-load
370,1,shit-pot
371,1,shit-spitter
372,1,shit-stain
373,1,son of a bitch
374,1,son of a whore
375,1,son-of-a-bitch
376,1,son-of-a-whore
377,1,spread legs
399,1,timber nigger
400,1,timber niggers
408,1,tw4t
425,1,wh00r
426,1,wh0re
427,1,wh0reface
428,1,white power
429,1,whoring
430,1,zipperhead

