,class,text
0,0,ooo ill check it out in morn can 100%
1,0,yo lunars house be lookin fire
2,0,I can sell my sstuff devil
3,0,"who is rich, can you please complete my dream to get 10mill money plss"
4,0,muffinman but you only have 37mil tho
5,0,I will sell most of my stuff guys
6,0,can i see the enchants i will not gonna kill you i just want to know please
7,0,I am making a contract tho muffin
8,0,whales did you finish the mansion yet
9,0,aero u dont have 150 mol
10,0,anyone have job for 500k 5 minutes
11,0,lol whose wasting 300m on a base
12,0,cx u got me in trouble
13,0,Bro just rickrolled me X_X
14,0,I am seriously asking tho
15,0,Bro no shop ive gone to sells carrots like im trying to give someone money but nobody sells carrots bro
16,0,i know dc from marvel
17,0,star wars do be wack tho
18,0,I was never into pirates of caribbean tbh
19,0,ooo ill check it out in morn can 100%
20,0,yo lunars house be lookin fire
21,0,I can sell my sstuff devil
22,0,"who is rich, can you please complete my dream to get 10mill money plss"
23,0,muffinman but you only have 37mil tho
24,0,I will sell most of my stuff guys
25,0,can i see the enchants i will not gonna kill you i just want to know please
26,0,I am making a contract tho muffin
27,0,whales did you finish the mansion yet
28,0,aero u dont have 150 mol
29,0,anyone have job for 500k 5 minutes
30,0,lol whose wasting 300m on a base
31,0,cx u got me in trouble
32,0,Bro just rickrolled me X_X
33,0,I am seriously asking tho
34,0,Bro no shop ive gone to sells carrots like im trying to give someone money but nobody sells carrots bro
35,0,i know dc from marvel
36,0,star wars do be wack tho
37,0,I was never into pirates of caribbean tbh
38,0,wws that your alt then?
39,0,leave us alone cx D:
40,0,anything after was rushed and dumb
41,0,they put too muich in one season
42,0,dig u didn't see anything
43,0,lets do it quick john
44,0,and im Alt16Cosmitek too Lol
45,0,idk man they are here
46,0,Call_911 is legit the man that got me rich
47,0,guys how can i enchant my acr
48,0,ok u got stuff for me
49,0,no me i was fighting some1
50,0,ive already sent u 100m tho:/
51,0,someone wanna check my house out so faR?
52,0,trans just means you dont agree with the gender you were assigned with at birth
53,0,Im trash guys yall know that
54,0,Does survival and earth have different dc?
55,0,emishens do u want me to do the other house?
56,0,ya ever struggle to get ppl to watch a movie
57,0,aww man i needed money :(
58,0,nah send me the money first
59,0,lv can u build me a house
60,0,heh yeah ghosta how much
61,0,X u wanna buy all 5 for 4m
62,0,thx i just bought it
63,0,do u have some stuff i can get maybe
64,0,i only sent one bro :|
65,0,ig it answers my question
66,0,kexi i like the color of ur name
67,0,bro i have infite of this
68,0,ree tyty again BlueConstant :')
69,0,admin a guy is stealin from me pls help
70,0,admin a guy is stealin from me pls help
71,0,is the area claimed nico?
72,0,well it's kinda your fault you didn't claim the area nico
73,0,i dont have but i have dimonds
74,0,amd why do i even have this dumb common chest on me
75,0,it cost irl money tho
76,0,guys what does claim color do
77,0,GUYS what do block morphs do
78,0,is this the resource world u legit wont answer my question
79,0,no one can get it fam wym Punz did it
80,0,can i plz have some stuff im new
81,0,can you see anyone lol
82,0,because ghoste you and cx is a couple i think XD
83,0,I rlly need anything lol
84,0,bc i cant see anyone in there
85,0,ok the rest u can have
86,0,ty but this is just a pw ramdom
87,0,guys what's the discord invite link?
88,0,cx can you answer my question
89,0,_rui that was weired af
90,0,rocky you can loan money form me but you'll have to pay back 2X
91,0,nah i got rickrolled by the map
92,0,but can u pls give me plsss
93,0,but we need a bootle
94,0,huh thers nothing on 8t
95,0,hey can someone dono me some cash please
96,0,Bae jung wanna see mine u might wanna buy
97,0,anyone know what name of superg
98,0,Yo cx caan i pls sell u my maga spawner
99,0,Yo cs can i pls sell u my magma spawner
100,0,someone go to /pw battle
101,0,Do u know helluva boss manu
102,0,u dont take damage at all cx
103,0,yo we built an entire SCP facility and maybe just maybe we are gonna sell it for 12 million
104,0,Guys stop its only me
105,0,error put them on ah ill buy em all
106,0,_republicov you hoppers are full
107,0,admin can you come to me
108,0,anyone know a pw with axolotl
109,0,builders wand on ah for cheap
110,0,who needs ddirt msg me
111,0,Naarity or however u said lol
112,0,Selling 2 rabit spawner for 1.75M each
113,0,Ninja so are you selling them or no?
114,0,Brooke i can give you 6 coi
115,0,yo can anyone repair my armor
116,0,wales how u have so many lol
117,0,i will kill you stopp
118,0,yo cx can u repair my armor
119,0,and do u sell ig spawner
120,0,has anyone got a methood to get Xp realy fast cus i need lv 8 for smthn
121,0,loloboka i will go home and you can tp to me just type /tpa and my name
122,0,guys is anyone selling a pig or rabbit spawner?
123,0,bc i want to make a base
124,0,attractivehello /cos and click on the barrirer
125,0,teku on top of it man
126,0,nana punz name him Joe Mama
127,0,can i have some money like 1m or 10m plsssssss
128,0,guys anyone has a base for me to stay bc i first have to buy
129,0,my wife is ofline :(
130,0,ECLamont cmer bro i got my axe
131,0,SuperGBennett ur aim is so bad ngl
132,0,i live with colinha now
133,0,can my bro live with me ninja
134,0,ShadowGami43 shhh i can just make it
135,0,lol i don't have any
136,0,ninja how much money do u havw
137,0,wait who even is jack
138,0,As in you usa9744 gave me your dc
139,0,bc i think i know someone
140,0,lol i only got 4 cii s
141,0,albert ty for the rent!
142,0,oo your the guy that gave me hoyya lol
143,0,i used to have dc but my ipad broke
144,0,anything up to you idc
145,0,Slime babywhales is his alt
